,year,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
858,2018-19,F Dusseldorf,3,30.1,8,4,4,0,71.5,1,1,0,70.8,56,5,14,13,2,0,M'gladbach,1,69.9,14,6,6,2,89.1,1,2,2,72.7,44,1,13,14,3,0,1 - 0,0 - 3,2 - 2,1 - 2,1 - 0,1 - 2,6 - 0,1 - 0,2 - 2,3 - 2,2 - 2,1 - 1,M Rensing,M Zimmermann,K Ayhan,M Kaminski,N Gießelmann,A Bodzek,B Raman,K Stöger,O Fink,M Suttner,R Hennings,Y Sommer,F Johnson,M Ginter,N Elvedi,O Wendt,J Hofmann,T Strobl,F Neuhaus,T Hazard,L Stindl,A Pléa
859,2018-19,Freiburg,1,29.2,12,5,7,0,77,1,1,1,61.5,45,7,9,10,3,0,Bay Munich,1,70.8,27,8,12,7,90.1,4,7,1,61.1,55,3,10,8,1,0,2 - 4,1 - 1,1 - 1,0 - 4,1 - 1,3 - 2,6 - 2,2 - 1,2 - 1,5 - 0,4 - 0,4 - 1,A Schwolow,P Stenzel,K Schlotterbeck,D Heintz,C Günter,M Frantz,N Höfler,A Abrashi,V Grifo,J Haberer,L Höler,S Ulreich,J Kimmich,J Boateng,M Hummels,Rafinha ,J Rodríguez,Thiago ,L Goretzka,T Müller,R Lewandowski,K Coman
860,2018-19,W Bremen,3,56,8,4,2,2,79.7,2,7,1,72.2,48.5,4,12,9,0,0,Mainz,1,44,14,5,5,4,75.6,2,8,1,35.3,51.5,1,9,11,1,0,1 - 1,1 - 1,1 - 1,1 - 0,3 - 1,1 - 4,1 - 3,2 - 3,0 - 1,0 - 4,1 - 4,1 - 3,J Pavlenka,T Gebre Selassie,M Veljkovic,N Moisander,L Augustinsson,M Eggestein,K Möhwald,D Klaassen,M Kruse,M Harnik,M Rashica,F Müller,D Brosinski,S Bell,M Niakhate,A Martin Caricol,P Malong,L Öztunali,D Latza,J Boëtius,J Mateta,R Quaison
861,2018-19,RB Leipzig,5,49.4,22,9,9,4,83.8,6,6,4,50,51.4,0,7,6,1,0,Hertha,0,50.6,6,0,5,1,82.4,1,3,7,60,48.6,3,7,7,1,0,2 - 1,0 - 1,0 - 5,2 - 1,2 - 0,2 - 0,1 - 1,1 - 2,0 - 2,3 - 4,1 - 3,4 - 1,P Gulácsi,N Mukiele,I Konate,W Orban,M Halstenberg,T Adams,A Haidara,K Kampl,E Forsberg,Y Poulsen,T Werner,R Jarstein,N Stark,F Lustenberger,K Rekik,V Lazaro,A Maier,M Grujic,M Mittelstädt,O Duda,S Kalou,D Selke
862,2018-19,Hoffenheim,4,35.6,12,4,7,1,76.3,2,4,2,41.2,39.3,4,9,6,2,0,Leverkusen,1,64.4,18,5,5,8,86.5,2,7,4,61.1,60.7,1,6,8,2,0,1 - 3,4 - 1,1 - 1,2 - 0,0 - 1,1 - 2,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,O Baumann,P Kaderábek,K Vogt,B Hübner,J Brenet,K Demirbay,F Grillitsch,L Bittencourt,Joelinton ,A Kramaric,I Belfodil,L Hrádecky,L Bender,J Tah,S Bender,T Jedvaj,K Havertz,J Baumgartlinger,J Brandt,K Bellarabi,K Volland,L Bailey
863,2018-19,Leverkusen,1,70.7,15,2,6,7,86.8,0,10,1,50,51.5,2,9,11,3,0,W Bremen,3,29.3,11,5,4,2,69.2,1,3,1,54.5,48.5,1,11,8,2,0,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,1 - 1,1 - 1,1 - 1,1 - 0,3 - 1,1 - 4,L Hrádecky,L Bender,J Tah,A Dragovic,B Wendell,C Aránguiz,J Baumgartlinger,J Brandt,K Bellarabi,K Volland,L Bailey,J Pavlenka,T Gebre Selassie,M Friedl,N Moisander,L Augustinsson,M Eggestein,N Sahin,D Klaassen,M Kruse,J Eggestein,M Rashica
864,2018-19,Frankfurt,1,64.3,24,3,12,9,78.3,1,8,2,53.8,57.4,3,6,13,0,0,Nurnberg,0,35.7,10,3,5,2,62.5,1,3,3,66.7,42.6,2,14,4,2,0,1 - 1,0 - 5,1 - 1,2 - 1,3 - 1,1 - 1,2 - 3,1 - 1,2 - 2,2 - 3,1 - 0,1 - 1,K Trapp,A Touré,M Hasebe,M Hinteregger,G Fernandes,D da Costa,S Rode,M Gacinovic,F Kostic,L Jovic,G Paciência,C Mathenia,R Bauer,L Mühl,Ewerton ,S Kerk,P Erras,E Löwen,Y Kubo,H Behrens,T Tillman,M Ishak
865,2018-19,Bay Munich,6,69.9,22,11,5,6,89,3,13,2,75,29.4,1,7,5,1,0,Mainz,0,30.1,7,1,2,4,77.9,0,2,1,66.7,70.6,5,7,7,0,0,6 - 2,2 - 1,2 - 1,5 - 0,4 - 0,4 - 1,1 - 3,2 - 3,0 - 1,0 - 4,1 - 4,1 - 3,M Neuer,J Kimmich,N Süle,J Boateng,D Alaba,J Rodríguez,Thiago ,L Goretzka,T Müller,R Lewandowski,K Coman,F Müller,D Brosinski,S Bell,A Hack,M Niakhate,J Boëtius,J Gbamin,D Latza,K Onisiwo,J Mateta,L Öztunali
866,2018-19,FC Augsburg,3,60.7,22,10,8,4,76.2,0,2,2,66.7,64.6,2,12,11,1,0,Hannover,1,39.3,13,4,7,2,68.2,2,3,2,57.9,35.4,7,12,11,5,0,3 - 1,1 - 3,0 - 2,0 - 0,2 - 0,3 - 1,1 - 4,3 - 0,0 - 1,4 - 1,1 - 2,2 - 0,G Kobel,J Schmid,K Danso,R Khedira,P Max,D Baier,A Hahn,J Koo,M Richter,D Ji,A Finnbogason,M Esser,O Sorg,W Anton,K Wimmer,M Albornoz,M Bakalorz,G Haraguchi,L Maina,N Müller,H Weydandt,Jonathas 
867,2018-19,Schalke,0,50.4,16,3,10,3,72.6,1,0,1,72,44.3,3,13,16,1,0,RB Leipzig,1,49.6,16,4,8,4,70.2,1,6,0,63.3,55.7,3,16,12,1,0,4 - 1,1 - 1,0 - 3,1 - 1,0 - 4,1 - 3,2 - 1,0 - 1,0 - 5,2 - 1,2 - 0,2 - 0,A Nübel,J Bruma,S Sané,M Nastasic,B Stambouli,W McKennie,S Serdar,S Rudy,B Oczipka,M Uth,B Embolo,P Gulácsi,L Klostermann,I Konate,W Orban,M Halstenberg,M Sabitzer,T Adams,K Kampl,E Forsberg,T Werner,Y Poulsen
