,year,date,venue,attendance,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
704,2015-16,"3:00pm, Saturday 27th February 2016.",St. Mary's Stadium,"31,688.",So'ton,1,34.6,7,2,3,2,75.7,1,7,5,85.7,40,2,10,11,3,0,Chelsea,2,65.4,16,4,9,3,87.3,1,8,2,100,60,1,11,10,1,0,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,F Forster,C Soares,V van Dijk,J Fonte,R Bertrand,J Clasie,O Romeu,S Long,S Davis,M Targett,C Austin,T Courtois,C Azpilicueta,G Cahill,B Ivanovic,B Rahman,C Fàbregas,J Obi,E Hazard,Willian ,Pedro ,D Costa
705,2015-16,"3:00pm, Saturday 27th February 2016.",Bet365 Stadium,"27,703.",Stoke,2,55.3,11,3,6,2,79.5,1,11,2,60,57.6,0,7,15,0,0,A Villa,1,44.7,5,1,4,0,74.8,1,0,2,86.7,42.4,3,15,7,3,0,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,3 - 4,0 - 3,1 - 0,7 - 2,0 - 1,3 - 0,J Butland,P Bardsley,G Cameron,P Wollscheid,E Pieters,G Whelan,G Imbula,X Shaqiri,I Afellay,M Arnautovic,J Walters,M Bunn,A Hutton,J Okore,J Lescott,A Cissokho,J Veretout,A Westwood,I Gueye,L Bacuna,G Agbonlahor,C Gil
706,2015-16,"3:00pm, Saturday 27th February 2016.",Vicarage Road,"20,831.",Watford,0,46.9,14,1,9,4,66.1,1,4,3,71.4,38.9,3,14,16,3,0,B'mouth,0,53.1,11,3,4,4,73.7,1,5,3,75,61.1,1,16,14,1,0,3 - 2,0 - 1,1 - 1,1 - 1,3 - 1,1 - 0,0 - 1,1 - 1,1 - 0,1 - 1,1 - 1,0 - 0,H Gomes,J Paredes,C Cathcart,M Britos,N Aké,V Behrami,B Watson,E Capoue,N Amrabat,T Deeney,O Ighalo,A Boruc,A Smith,S Francis,S Cook,C Daniels,M Ritchie,H Arter,A Surman,J Stanislas,J King,B Afobe
707,2015-16,"5:30pm, Saturday 27th February 2016.",The Hawthorns,"24,806.",W Brom,3,46.1,11,5,5,1,71.9,3,3,1,92.9,51.8,0,14,16,2,0,C Palace,2,53.9,15,2,8,5,71.9,1,6,1,81.8,48.2,2,16,14,2,0,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,0 - 2,2 - 1,1 - 1,0 - 4,1 - 2,3 - 1,B Foster,C Dawson,G McAuley,J Olsson,C Brunt,D Fletcher,C Yacob,C Gardner,S Sessegnon,S Rondón,S Berahino,W Hennessey,M Kelly,S Dann,D Delaney,J Ward,W Zaha,Y Cabaye,J Ledley,J Mutch,E Adebayor,C Wickham
708,2015-16,"12:00pm, Sunday 14th February 2016.",Emirates Stadium,"60,009.",Arsenal,2,72.1,24,6,12,6,86.1,2,11,5,64.7,63.8,2,9,9,4,0,Leicester,1,27.9,7,3,4,0,59.5,1,1,2,67.6,36.2,4,10,8,3,1,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,4 - 0,4 - 1,2 - 1,1 - 0,3 - 0,0 - 1,P Cech,H Bellerin,P Mertesacker,L Koscielny,N Monreal,F Coquelin,A Ramsey,A Oxlade-Chamberlain,M Özil,A Sánchez,O Giroud,K Schmeichel,D Simpson,W Morgan,R Huth,C Fuchs,R Mahrez,D Drinkwater,N Kanté,M Albrighton,S Okazaki,J Vardy
709,2015-16,"4:15pm, Sunday 14th February 2016.",Etihad Stadium,"54,551.",Man City,1,45.9,19,4,7,8,78.8,1,7,4,73.1,62.1,1,12,14,1,0,Tottenham,2,54.1,6,3,2,1,82.1,1,1,1,81.8,37.9,3,17,11,3,0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,3 - 1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,J Hart,P Zabaleta,V Kompany,N Otamendi,G Clichy,Fernando ,Fernandinho ,D Silva,Y Touré,R Sterling,S Agüero,H Lloris,K Walker,T Alderweireld,K Wimmer,D Rose,E Dier,M Dembélé,H Son,C Eriksen,D Alli,H Kane
710,2015-16,"12:45pm, Saturday 13th February 2016.",Stadium of Light,"41,687.",S'land,2,33.7,21,5,10,6,62.9,1,6,2,68.8,52.4,5,7,15,2,0,Man Utd,1,66.3,12,6,1,5,82,0,8,6,82.4,47.6,3,15,6,3,0,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,V Mannone,D Yedlin,L Koné,J O'Shea,P van Aanholt,J Kirchhoff,D N'Doye,L Cattermole,Y M'Vila,W Khazri,J Defoe,D De Gea,M Darmian,C Smalling,D Blind,C Borthwick-Jackson,M Schneiderlin,M Carrick,J Lingard,J Mata,A Martial,W Rooney
711,2015-16,"3:00pm, Saturday 13th February 2016.",Vitality Stadium,"10,863.",B'mouth,1,65.7,11,2,4,5,85.6,2,9,1,80,35,3,7,18,4,0,Stoke,3,34.3,11,6,4,1,76.2,1,2,2,87.5,65,1,18,6,2,0,0 - 1,1 - 1,1 - 0,1 - 1,1 - 1,0 - 0,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,A Boruc,A Smith,S Francis,S Cook,C Daniels,A Surman,J Stanislas,D Gosling,H Arter,M Pugh,B Afobe,J Butland,G Johnson,P Wollscheid,M Muniesa,E Pieters,G Whelan,G Imbula,X Shaqiri,I Afellay,M Diouf,J Walters
712,2015-16,"3:00pm, Saturday 13th February 2016.",Selhurst Park,"24,564.",C Palace,1,53.9,15,5,8,2,72.7,1,8,6,72.2,64.6,2,16,11,0,1,Watford,2,46.1,10,4,2,4,66,1,3,0,73.3,35.4,4,14,16,1,0,0 - 2,2 - 1,1 - 1,0 - 4,1 - 2,3 - 1,3 - 2,0 - 1,1 - 1,1 - 1,3 - 1,1 - 0,W Hennessey,J Ward,S Dann,D Delaney,P Souaré,W Zaha,Y Cabaye,M Jedinak,J Mutch,C Wickham,E Adebayor,H Gomes,A Nyom,S Prödl,C Cathcart,N Aké,E Capoue,B Watson,V Behrami,N Amrabat,O Ighalo,T Deeney
713,2015-16,"3:00pm, Saturday 13th February 2016.",Goodison Park,"38,103.",Everton,0,75.9,33,6,12,15,86.5,1,14,1,64.3,36.8,0,10,11,1,0,W Brom,1,24.1,5,1,3,1,57.2,1,1,2,58.8,63.2,5,12,10,4,0,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,Joel ,S Coleman,P Jagielka,R Funes Mori,B Oviedo,J McCarthy,G Barry,A Lennon,R Barkley,T Cleverley,R Lukaku,B Foster,C Dawson,J Evans,J Olsson,J Chester,S Sessegnon,D Fletcher,C Yacob,J McClean,S Berahino,S Rondón
